linker_id,name,xyz_file,smiles
1062,ch2_16_c_link__2_NMe2__site2,ch2_16_c_link__2_NMe2__site2.xyz,CN(Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2)C
1063,ch2_16_c_link__2_NMe2__site3,ch2_16_c_link__2_NMe2__site3.xyz,CN(Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2)C
1064,ch2_16_c_link__3_N_iPr2__site1,ch2_16_c_link__3_N_iPr2__site1.xyz,CC(N(C(C)C)Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1)C
1065,ch2_16_c_link__3_N_iPr2__site2,ch2_16_c_link__3_N_iPr2__site2.xyz,CC(N(C(C)C)Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2)C
1066,ch2_16_c_link__3_N_iPr2__site3,ch2_16_c_link__3_N_iPr2__site3.xyz,CC(N(C(C)C)Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2)C
1067,ch2_16_c_link__5_NPh2__site1,ch2_16_c_link__5_NPh2__site1.xyz,c1ccc(cc1)N(c1ccccc1)Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
1068,ch2_16_c_link__5_NPh2__site2,ch2_16_c_link__5_NPh2__site2.xyz,c1ccc(cc1)N(c1ccccc1)Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2
1069,ch2_16_c_link__5_NPh2__site3,ch2_16_c_link__5_NPh2__site3.xyz,c1ccc(cc1)N(c1ccccc1)Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2
1070,ch2_16_c_link__6_NPhNH2__site1,ch2_16_c_link__6_NPhNH2__site1.xyz,Nc1ccc(cc1)N(c1ccc(cc1)N)Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
1071,ch2_16_c_link__6_NPhNH2__site2,ch2_16_c_link__6_NPhNH2__site2.xyz,Nc1ccc(cc1)N(c1ccc(cc1)N)Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2
1072,ch2_16_c_link__6_NPhNH2__site3,ch2_16_c_link__6_NPhNH2__site3.xyz,Nc1ccc(cc1)N(c1ccc(cc1)N)Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2
1073,ch2_16_c_link__8_p-pyridine__site1,ch2_16_c_link__8_p-pyridine__site1.xyz,n1ccc(cc1)Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
1074,ch2_16_c_link__8_p-pyridine__site2,ch2_16_c_link__8_p-pyridine__site2.xyz,n1ccc(cc1)Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2
1075,ch2_16_c_link__8_p-pyridine__site3,ch2_16_c_link__8_p-pyridine__site3.xyz,n1ccc(cc1)Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2
1076,ch2_16_c_link__9_m-pyridine__site1,ch2_16_c_link__9_m-pyridine__site1.xyz,c1ccc(cn1)Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
1077,ch2_16_c_link__9_m-pyridine__site2,ch2_16_c_link__9_m-pyridine__site2.xyz,c1ccc(cn1)Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2
1078,ch2_16_c_link__9_m-pyridine__site3,ch2_16_c_link__9_m-pyridine__site3.xyz,c1ccc(cn1)Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2
1079,ch2_16_c_link__10_o-pyridine__site1,ch2_16_c_link__10_o-pyridine__site1.xyz,c1ccc(nc1)Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
1080,ch2_16_c_link__10_o-pyridine__site2,ch2_16_c_link__10_o-pyridine__site2.xyz,c1ccc(nc1)Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2
1081,ch2_16_c_link__10_o-pyridine__site3,ch2_16_c_link__10_o-pyridine__site3.xyz,c1ccc(nc1)Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2
1082,ch2_16_c_link__11_pyrazine__site1,ch2_16_c_link__11_pyrazine__site1.xyz,c1cnc(cn1)Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
1083,ch2_16_c_link__11_pyrazine__site2,ch2_16_c_link__11_pyrazine__site2.xyz,c1cnc(cn1)Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2
1084,ch2_16_c_link__11_pyrazine__site3,ch2_16_c_link__11_pyrazine__site3.xyz,c1cnc(cn1)Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2
1085,ch2_16_c_link__12_pyramidine_H1__site1,ch2_16_c_link__12_pyramidine_H1__site1.xyz,n1ccc(nc1)Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
1086,ch2_16_c_link__12_pyramidine_H1__site2,ch2_16_c_link__12_pyramidine_H1__site2.xyz,n1ccc(nc1)Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2
1087,ch2_16_c_link__12_pyramidine_H1__site3,ch2_16_c_link__12_pyramidine_H1__site3.xyz,n1ccc(nc1)Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2
1088,ch2_16_c_link__13_pyramidine__site1,ch2_16_c_link__13_pyramidine__site1.xyz,c1ncc(cn1)Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
1089,ch2_16_c_link__13_pyramidine__site2,ch2_16_c_link__13_pyramidine__site2.xyz,c1ncc(cn1)Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2
1090,ch2_16_c_link__13_pyramidine__site3,ch2_16_c_link__13_pyramidine__site3.xyz,c1ncc(cn1)Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2
1091,ch2_16_c_link__14_pyramidine__site1,ch2_16_c_link__14_pyramidine__site1.xyz,c1cnc(nc1)Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
1092,ch2_16_c_link__14_pyramidine__site2,ch2_16_c_link__14_pyramidine__site2.xyz,c1cnc(nc1)Cc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2
1093,ch2_16_c_link__14_pyramidine__site3,ch2_16_c_link__14_pyramidine__site3.xyz,c1cnc(nc1)Cc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2
1094,ch2_16_c_link__15_DABCO_H1__site1,ch2_16_c_link__15_DABCO_H1__site1.xyz,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)ccc(c1)C[C@H]1C[N@@]2CC[N@]1CC2
1095,ch2_16_c_link__15_DABCO_H1__site2,ch2_16_c_link__15_DABCO_H1__site2.xyz,c1cc2cc3cc4cc5ccccc5cc4cc3cc2c(c1)C[C@H]1C[N@@]2CC[N@]1CC2
